Slice,Count,Total Area,Average Size,%Area
MGD1 3 2 1 rhinal 10x.tif,12,0.159,0.013,0.077
MGD3 6 1 12 hippo 10x.tif,155,1.344,0.009,0.645
MGD1 3 1 13 hippo 10x.tif,6,0.110,0.018,0.053
MGD3 20 2 1 rhinal 10x.tif,30,0.496,0.017,0.238
MGD1 1 1 12 hippo 10x.tif,36,0.560,0.016,0.269
MGD3 6 1 11 hippo 10x.tif,164,1.299,0.008,0.624
MGD3 6 1 11 rhinal 10x.tif,261,2.429,0.009,1.166
MGD3 5 1 12 hippo 10x.tif,171,1.786,0.010,0.857
MGD1 3 1 10 hippo 10x.tif,11,0.204,0.019,0.098
MGD3 20 2 4 rhinal 10x.tif,32,0.513,0.016,0.246
MGD1 1 1 13 rhinal 10x.tif,7,0.063,0.009,0.030
MGD3 20 2 3 rhinal 10x.tif,38,0.609,0.016,0.292
MGD3 19 1 11 hippo 10x.tif,8,0.107,0.013,0.051
MGD1 3 1 12 rhinal 10x.tif,6,0.075,0.013,0.036
MGD3 19 1 12 hippo 10x.tif,5,0.101,0.020,0.048
MGD3 19 1 13 rhinal 10x.tif,4,0.048,0.012,0.023
MGD3 20 1 6 hippo 10x.tif,20,0.371,0.019,0.178
MGD1 3 2 3 rhinal 10x.tif,6,0.063,0.010,0.030
MGD3 19 1 13 hippo 10x.tif,10,0.124,0.012,0.060
MGD3 5 2 2 hippo 10x.tif,164,1.595,0.010,0.766
MGD3 19 2 1 rhinal 10x.tif,5,0.078,0.016,0.038
MGD1 1 2 3 rhinal 10x.tif,7,0.125,0.018,0.060
MGD3 5 2 3 rhinal 10x.tif,203,1.940,0.010,0.931
MGD3 6 2 5 rhinal 10x.tif,274,1.932,0.007,0.927
MGD3 5 2 1 hippo 10x.tif,134,1.267,0.009,0.608
MGD1 1 1 13 hippo 10x.tif,29,0.422,0.015,0.202
MGD3 6 1 10 hippo 10x.tif,168,1.228,0.007,0.590
MGD3 19 2 2 rhinal 10x.tif,13,0.185,0.014,0.089
MGD3 20 1 12 hippo 10x.tif,13,0.201,0.015,0.097
MGD1 1 2 1 rhinal 10x.tif,4,0.095,0.024,0.046
MGD3 5 2 1 rhinal 10x.tif,209,1.741,0.008,0.836
MGD3 6 2 1 rhinal 10x.tif,266,2.360,0.009,1.133
MGD1 3 1 12 hippo 10x.tif,7,0.119,0.017,0.057
MGD3 5 2 7 rhinal 10x.tif,206,2.232,0.011,1.071
MGD3 20 2 1 hippo 10x.tif,20,0.307,0.015,0.147
MGD1 1 1 10 hippo 10x.tif,11,0.114,0.010,0.055
