Subject,Condition,Sex,Study,PLX_admin,dose_01,dose_02,dose_03,dose_04,dose_05,dose_06,dose_07,dose_08,dose_09,dose_10,dose_11,dose_12
7,VEH-EtOH,Male,MGD1,i.p.,0,0,2,3,2,1,4,1,1,1,0,0
9,VEH-EtOH,Male,MGD1,i.p.,0,0,2,3,3,1,2,2,2,2,1,1
10,VEH-EtOH,Male,MGD1,i.p.,0,0,2,3,3,1,4,3,1,2,2,1
17,VEH-EtOH,Male,MGD2,i.p.,0,1,3,3,1,2,5,1,1,2,2,1
19,VEH-EtOH,Male,MGD2,i.p.,0,0,3,2,3,2,3,1,3,1,1,2
20,VEH-EtOH,Male,MGD2,i.p.,0,1,2,1,4,2,2,1,3,2,1,0
5,VEH-EtOH,Male,MGD3,i.p.,0,1,2,3,3,2,2,2,1,3,2,1
6,VEH-EtOH,Male,MGD3,i.p.,0,1,2,3,3,2,3,2,2,3,2,2
7,VEH-EtOH,Male,MGD3,i.p.,0,1,2,4,4,2,2,3,2,4,4,2
8,VEH-EtOH,Male,MGD3,i.p.,0,1,1,3,3,1,4,2,1,4,2,1
1,PLX-EtOH,Male,MGD1,i.p.,0,1,0,2,3,3,2,2,1,1,1,2
3,PLX-EtOH,Male,MGD1,i.p.,0,1,1,1,1,2,3,2,3,2,1,1
4,PLX-EtOH,Male,MGD1,i.p.,0,0,0,1,3,1,3,3,1,1,0,3
6,PLX-EtOH,Male,MGD1,i.p.,0,1,1,1,3,2,1,2,3,2,0,1
19,PLX-EtOH,Male,MGD3,i.p.,0,2,0,3,3,1,4,3,2,3,2,1
20,PLX-EtOH,Male,MGD3,i.p.,0,1,0,3,4,1,3,2,1,4,2,1
22,PLX-EtOH,Male,MGD3,i.p.,0,2,1,3,4,4,3,2,2,4,3,3
24,PLX-EtOH,Male,MGD3,i.p.,0,2,3,3,3,4,3,4,4,3,3,4
