id,Region,Iba1_avg,Iba1_sd,slices,Iba1_sem,Subject,Condition,Drug,Diet,Sex,Study,PLX_admin
01-MGD3,Hippo,153.42857142857142,49.486891001076046,7,18.704286678086778,01,VEH-CON,VEH,CON,Male,MGD3,i.p.
02-MGD3,Hippo,176.8,15.706686474237651,5,7.024243731534377,02,VEH-CON,VEH,CON,Male,MGD3,i.p.
03-MGD3,Hippo,62.75,31.223655562196214,4,15.611827781098107,03,VEH-CON,VEH,CON,Male,MGD3,i.p.
04-MGD3,Hippo,97,44.294469180700204,4,22.147234590350102,04,VEH-CON,VEH,CON,Male,MGD3,i.p.
11-MGD1,Hippo,150.2,17.412639087743134,5,7.787168933572715,11,VEH-CON,VEH,CON,Male,MGD1,i.p.
12-MGD1,Hippo,207.5,21.486429825977762,4,10.743214912988881,12,VEH-CON,VEH,CON,Male,MGD1,i.p.
13-MGD1,Hippo,94,27.313000567495326,5,12.214745187681975,13,VEH-CON,VEH,CON,Male,MGD1,i.p.
14-MGD1,Hippo,148.5,21.501937897160182,4,10.750968948580091,14,VEH-CON,VEH,CON,Male,MGD1,i.p.
11-MGD3,Hippo,1.6,1.51657508881031,5,0.6782329983125267,11,PLX-CON,PLX,CON,Male,MGD3,i.p.
12-MGD3,Hippo,1,1,5,0.44721359549995793,12,PLX-CON,PLX,CON,Male,MGD3,i.p.
13-MGD3,Hippo,12.4,5.683308895353129,5,2.541653005427767,13,PLX-CON,PLX,CON,Male,MGD3,i.p.
14-MGD3,Hippo,17.6,5.128352561983234,5,2.2934689882359427,14,PLX-CON,PLX,CON,Male,MGD3,i.p.
15-MGD3,Hippo,14.5,2.8809720581775866,6,1.1761519176251567,15,PLX-CON,PLX,CON,Male,MGD3,i.p.
16-MGD3,Hippo,58.666666666666664,6.531972647421808,6,2.666666666666667,16,PLX-CON,PLX,CON,Male,MGD3,i.p.
17-MGD3,Hippo,2,1.7888543819998317,6,0.7302967433402215,17,PLX-CON,PLX,CON,Male,MGD3,i.p.
18-MGD3,Hippo,9.6,5.128352561983234,5,2.2934689882359427,18,PLX-CON,PLX,CON,Male,MGD3,i.p.
05-MGD3,Hippo,156.33333333333334,19.65536398374076,3,11.348029687032803,05,VEH-EtOH,VEH,EtOH,Male,MGD3,i.p.
06-MGD3,Hippo,173,22.015146301277824,4,11.007573150638912,06,VEH-EtOH,VEH,EtOH,Male,MGD3,i.p.
07-MGD1,Hippo,200.75,21.234798484249072,4,10.617399242124536,07,VEH-EtOH,VEH,EtOH,Male,MGD1,i.p.
07-MGD3,Hippo,157.33333333333334,10.481730137084558,6,4.279148409568323,07,VEH-EtOH,VEH,EtOH,Male,MGD3,i.p.
08-MGD3,Hippo,127.66666666666667,22.18858565419016,3,12.810585900383758,08,VEH-EtOH,VEH,EtOH,Male,MGD3,i.p.
09-MGD1,Hippo,175.33333333333334,12.741009902410928,3,7.356025496904637,09,VEH-EtOH,VEH,EtOH,Male,MGD1,i.p.
10-MGD1,Hippo,101.33333333333333,27.75487945088815,3,16.02428712229589,10,VEH-EtOH,VEH,EtOH,Male,MGD1,i.p.
17-MGD2,Hippo,157.4,13.183322798141598,5,5.89576118919347,17,VEH-EtOH,VEH,EtOH,Male,MGD2,i.p.
20-MGD2,Hippo,175.33333333333334,21.385353243127255,3,12.346839451634757,20,VEH-EtOH,VEH,EtOH,Male,MGD2,i.p.
01-MGD1,Hippo,24.5,10.661457061146317,4,5.330728530573158,01,PLX-EtOH,PLX,EtOH,Male,MGD1,i.p.
03-MGD1,Hippo,9,2.943920288775949,4,1.4719601443879744,03,PLX-EtOH,PLX,EtOH,Male,MGD1,i.p.
04-MGD1,Hippo,9.6,4.929503017546495,5,2.2045407685048604,04,PLX-EtOH,PLX,EtOH,Male,MGD1,i.p.
06-MGD1,Hippo,24,5.385164807134504,5,2.408318915758459,06,PLX-EtOH,PLX,EtOH,Male,MGD1,i.p.
19-MGD3,Hippo,7.4,1.816590212458495,5,0.8124038404635959,19,PLX-EtOH,PLX,EtOH,Male,MGD3,i.p.
20-MGD3,Hippo,18,3.366501646120693,4,1.6832508230603465,20,PLX-EtOH,PLX,EtOH,Male,MGD3,i.p.
22-MGD3,Hippo,1,0.816496580927726,4,0.408248290463863,22,PLX-EtOH,PLX,EtOH,Male,MGD3,i.p.
24-MGD3,Hippo,12,6.782329983125268,4,3.391164991562634,24,PLX-EtOH,PLX,EtOH,Male,MGD3,i.p.
01-MGD3,Rhinal,244.875,20.938259581104496,8,7.402792668021594,01,VEH-CON,VEH,CON,Male,MGD3,i.p.
02-MGD3,Rhinal,330.2857142857143,48.58571218549162,7,18.36367310196733,02,VEH-CON,VEH,CON,Male,MGD3,i.p.
03-MGD3,Rhinal,115.42857142857143,49.00631640532726,7,18.522646554262963,03,VEH-CON,VEH,CON,Male,MGD3,i.p.
04-MGD3,Rhinal,223.5,45,4,22.5,04,VEH-CON,VEH,CON,Male,MGD3,i.p.
11-MGD1,Rhinal,207.85714285714286,31.418829659025448,7,11.875201394640232,11,VEH-CON,VEH,CON,Male,MGD1,i.p.
12-MGD1,Rhinal,260.8333333333333,17.543279814979485,6,7.16201399359457,12,VEH-CON,VEH,CON,Male,MGD1,i.p.
13-MGD1,Rhinal,217.66666666666666,21.134489978863144,6,8.628119403696523,13,VEH-CON,VEH,CON,Male,MGD1,i.p.
14-MGD1,Rhinal,260.25,24.58149710656371,4,12.290748553281855,14,VEH-CON,VEH,CON,Male,MGD1,i.p.
11-MGD3,Rhinal,0.33333333333333337,0.5163977794943223,6,0.210818510677892,11,PLX-CON,PLX,CON,Male,MGD3,i.p.
12-MGD3,Rhinal,0.875,1.1259916264596033,8,0.3980981573144277,12,PLX-CON,PLX,CON,Male,MGD3,i.p.
13-MGD3,Rhinal,6.5,2.1213203435596424,2,1.4999999999999998,13,PLX-CON,PLX,CON,Male,MGD3,i.p.
14-MGD3,Rhinal,3.4,1.6733200530681511,5,0.7483314773547882,14,PLX-CON,PLX,CON,Male,MGD3,i.p.
15-MGD3,Rhinal,20.9,10.461038826681284,10,3.3080709383768254,15,PLX-CON,PLX,CON,Male,MGD3,i.p.
16-MGD3,Rhinal,86.33333333333333,6.623191577077223,6,2.7039066387564334,16,PLX-CON,PLX,CON,Male,MGD3,i.p.
