id,Condition,mean,time,dose
7-MGD1,VEH,395.70000000000005,dose_01,5
7-MGD1,VEH,395.70000000000005,dose_02,5
7-MGD1,VEH,395.70000000000005,dose_03,3
7-MGD1,VEH,395.70000000000005,dose_04,2
7-MGD1,VEH,395.70000000000005,dose_05,3
7-MGD1,VEH,395.70000000000005,dose_06,4
7-MGD1,VEH,395.70000000000005,dose_07,1
9-MGD1,VEH,312.6,dose_01,5
9-MGD1,VEH,312.6,dose_02,5
9-MGD1,VEH,312.6,dose_03,3
9-MGD1,VEH,312.6,dose_04,2
9-MGD1,VEH,312.6,dose_05,2
9-MGD1,VEH,312.6,dose_06,4
9-MGD1,VEH,312.6,dose_07,3
10-MGD1,VEH,462.65,dose_01,5
10-MGD1,VEH,462.65,dose_02,5
10-MGD1,VEH,462.65,dose_03,3
10-MGD1,VEH,462.65,dose_04,2
10-MGD1,VEH,462.65,dose_05,2
10-MGD1,VEH,462.65,dose_06,4
10-MGD1,VEH,462.65,dose_07,1
17-MGD2,VEH,377.85,dose_01,5
17-MGD2,VEH,377.85,dose_02,4
17-MGD2,VEH,377.85,dose_03,2
17-MGD2,VEH,377.85,dose_04,2
17-MGD2,VEH,377.85,dose_05,4
17-MGD2,VEH,377.85,dose_06,3
17-MGD2,VEH,377.85,dose_07,0
20-MGD2,VEH,397.20000000000005,dose_01,5
20-MGD2,VEH,397.20000000000005,dose_02,4
20-MGD2,VEH,397.20000000000005,dose_03,3
20-MGD2,VEH,397.20000000000005,dose_04,4
20-MGD2,VEH,397.20000000000005,dose_05,1
20-MGD2,VEH,397.20000000000005,dose_06,3
20-MGD2,VEH,397.20000000000005,dose_07,3
5-MGD3,VEH,345,dose_01,5
5-MGD3,VEH,345,dose_02,4
5-MGD3,VEH,345,dose_03,3
5-MGD3,VEH,345,dose_04,2
5-MGD3,VEH,345,dose_05,2
5-MGD3,VEH,345,dose_06,3
5-MGD3,VEH,345,dose_07,3
6-MGD3,VEH,403.4,dose_01,5
6-MGD3,VEH,403.4,dose_02,4
6-MGD3,VEH,403.4,dose_03,3
6-MGD3,VEH,403.4,dose_04,2
6-MGD3,VEH,403.4,dose_05,2
6-MGD3,VEH,403.4,dose_06,3
6-MGD3,VEH,403.4,dose_07,2
7-MGD3,VEH,467.75,dose_01,5
7-MGD3,VEH,467.75,dose_02,4
7-MGD3,VEH,467.75,dose_03,3
7-MGD3,VEH,467.75,dose_04,1
7-MGD3,VEH,467.75,dose_05,1
7-MGD3,VEH,467.75,dose_06,3
7-MGD3,VEH,467.75,dose_07,3
8-MGD3,VEH,429.9,dose_01,5
8-MGD3,VEH,429.9,dose_02,4
8-MGD3,VEH,429.9,dose_03,4
8-MGD3,VEH,429.9,dose_04,2
8-MGD3,VEH,429.9,dose_05,2
8-MGD3,VEH,429.9,dose_06,4
8-MGD3,VEH,429.9,dose_07,1
1-MGD1,PLX,326.75,dose_01,5
1-MGD1,PLX,326.75,dose_02,4
1-MGD1,PLX,326.75,dose_03,5
1-MGD1,PLX,326.75,dose_04,3
1-MGD1,PLX,326.75,dose_05,2
1-MGD1,PLX,326.75,dose_06,2
1-MGD1,PLX,326.75,dose_07,3
3-MGD1,PLX,212.8,dose_01,5
3-MGD1,PLX,212.8,dose_02,4
3-MGD1,PLX,212.8,dose_03,4
3-MGD1,PLX,212.8,dose_04,4
3-MGD1,PLX,212.8,dose_05,4
3-MGD1,PLX,212.8,dose_06,3
3-MGD1,PLX,212.8,dose_07,2
4-MGD1,PLX,388,dose_01,5
4-MGD1,PLX,388,dose_02,5
4-MGD1,PLX,388,dose_03,5
4-MGD1,PLX,388,dose_04,4
4-MGD1,PLX,388,dose_05,2
4-MGD1,PLX,388,dose_06,4
4-MGD1,PLX,388,dose_07,2
6-MGD1,PLX,397.5,dose_01,5
6-MGD1,PLX,397.5,dose_02,4
6-MGD1,PLX,397.5,dose_03,4
6-MGD1,PLX,397.5,dose_04,4
6-MGD1,PLX,397.5,dose_05,2
6-MGD1,PLX,397.5,dose_06,3
6-MGD1,PLX,397.5,dose_07,4
19-MGD3,PLX,431.55,dose_01,5
19-MGD3,PLX,431.55,dose_02,3
19-MGD3,PLX,431.55,dose_03,5
19-MGD3,PLX,431.55,dose_04,2
19-MGD3,PLX,431.55,dose_05,2
19-MGD3,PLX,431.55,dose_06,4
19-MGD3,PLX,431.55,dose_07,1
20-MGD3,PLX,459.45000000000005,dose_01,5
20-MGD3,PLX,459.45000000000005,dose_02,4
20-MGD3,PLX,459.45000000000005,dose_03,5
20-MGD3,PLX,459.45000000000005,dose_04,2
20-MGD3,PLX,459.45000000000005,dose_05,1
20-MGD3,PLX,459.45000000000005,dose_06,4
20-MGD3,PLX,459.45000000000005,dose_07,2
22-MGD3,PLX,396.25,dose_01,5
22-MGD3,PLX,396.25,dose_02,3
22-MGD3,PLX,396.25,dose_03,4
22-MGD3,PLX,396.25,dose_04,2
22-MGD3,PLX,396.25,dose_05,1
22-MGD3,PLX,396.25,dose_06,1
22-MGD3,PLX,396.25,dose_07,2
24-MGD3,PLX,442.8,dose_01,5
24-MGD3,PLX,442.8,dose_02,3
24-MGD3,PLX,442.8,dose_03,2
24-MGD3,PLX,442.8,dose_04,2
24-MGD3,PLX,442.8,dose_05,2
24-MGD3,PLX,442.8,dose_06,1
24-MGD3,PLX,442.8,dose_07,2
