variable,n,min,max,median,iqr,mean,sd,se,ci
day_01,34,300,389,334,28.75,336.471,20.791,3.566,7.254
day_02,34,298,388,336,25,337.603,20.329,3.486,7.093
day_03,34,294,381,333.5,25,334.382,21.149,3.627,7.379
day_04,34,295,382,337.5,24,339.382,20.931,3.59,7.303
day_05,34,295,400,339.5,26.5,340.882,21.757,3.731,7.591
day_06,34,292,395,338,25.75,341.324,23.746,4.072,8.285
day_07,34,291,406,343.5,30.75,347.412,26.169,4.488,9.131
day_08,34,291,409,348,41.75,348.735,27.913,4.787,9.739
day_09,34,284,414,348,40.5,342.235,29.758,5.103,10.383
day_10,34,273,439,340,40,334.118,33.275,5.707,11.61
day_11,34,272,423,325.5,35.5,324.382,29.888,5.126,10.428
