Condition,variable,n,min,max,q1,median,q3
PLX-CON,day_01,8,322,383,328.5,332,343.75
PLX-CON,day_02,8,322,388,323.5,334.5,342.75
PLX-CON,day_03,8,312,381,318.5,322.5,334.25
PLX-CON,day_04,8,317,382,324.5,330,342.25
PLX-CON,day_05,8,318,400,330,334.5,344.25
PLX-CON,day_06,8,327,395,333.75,338,357.25
PLX-CON,day_07,8,333,402,344.25,353.5,366.75
PLX-CON,day_08,8,341,409,351.25,361.5,373.5
PLX-CON,day_09,8,350,414,352,363,369
PLX-CON,day_10,8,346,439,351,360.5,362.75
PLX-CON,day_11,8,328,423,330.5,343.5,354.25
PLX-EtOH,day_01,8,307,389,319,346,353.25
PLX-EtOH,day_02,8,300.5,377,318.375,341.25,349.5
PLX-EtOH,day_03,8,294,377,317.75,333,342.75
PLX-EtOH,day_04,8,302,382,319.25,344.5,354.25
PLX-EtOH,day_05,8,304,374,320.75,346,358.75
PLX-EtOH,day_06,8,305,388,319,352,371
PLX-EtOH,day_07,8,300,406,329.75,365,382.25
PLX-EtOH,day_08,8,302,408,333.25,360,381
PLX-EtOH,day_09,8,302,405,318,355.5,371
PLX-EtOH,day_10,8,301,396,310.75,341.5,355.25
PLX-EtOH,day_11,8,298,377,307.5,333.5,346.75
VEH-CON,day_01,8,300,362,323.75,335.5,352.5
VEH-CON,day_02,8,298,369,331,336.5,357.25
VEH-CON,day_03,8,296,376,333.75,341.5,357
VEH-CON,day_04,8,295,373,335.25,340,365.75
VEH-CON,day_05,8,295,371,330.25,340,361.5
VEH-CON,day_06,8,292,357,326.25,340,351
VEH-CON,day_07,8,291,368,325.75,340,360
VEH-CON,day_08,8,291,368,323.5,340.5,360
VEH-CON,day_09,8,284,357,318.25,341.5,354.75
VEH-CON,day_10,8,273,346,306.75,335,343.25
VEH-CON,day_11,8,272,335,298.75,318.5,334
VEH-EtOH,day_01,10,310,353,315.75,327.5,343
VEH-EtOH,day_02,10,310,351,329,336,345.5
VEH-EtOH,day_03,10,310,353,327.75,332.5,346
VEH-EtOH,day_04,10,311,360,332,336,349.25
VEH-EtOH,day_05,10,314,366,328.75,341.5,350
VEH-EtOH,day_06,10,314,380,327,337,343.25
VEH-EtOH,day_07,10,317,364,332,337,342.75
VEH-EtOH,day_08,10,316,376,321.5,330,347.75
VEH-EtOH,day_09,10,304,359,312.25,320,329.5
VEH-EtOH,day_10,10,288,349,302,312.5,318.25
VEH-EtOH,day_11,10,282,342,295,305.5,312.5
